,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
16072,32.0,0.0,1.0,1.0,1.0,0.0,34163.58,0.0
5118,391.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0
2231,54.0,0.0,1.0,1.0,1.0,0.0,11781.79,0.0
8143,296.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0
14734,225.0,0.0,1.0,1.0,7.0,3.0,11800.0,0.0
3053,195.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
10580,90.0,1.0,0.0,1.0,3.0,2.0,504.62,0.0
8481,115.0,5.0,0.0,1.0,8.0,1.0,0.0,0.0
6472,225.0,1.0,0.0,1.0,7.0,0.0,10800.0,0.0
8008,337.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
6510,190.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
13484,3.0,0.0,1.0,1.0,1.0,2.0,15294.69,0.0
8900,320.0,0.0,2.0,1.0,4.0,0.0,13354.0,0.0
1592,26.0,1.0,1.0,1.0,1.0,0.0,15050.0,0.0
17361,2.0,1.0,2.0,1.0,11.0,0.0,49644.0,0.0
4850,225.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0
18946,0.0,0.0,2.0,1.0,1.0,2.0,20500.17,0.0
11885,90.0,1.0,2.0,1.0,11.0,0.0,18712.63,0.0
14967,149.0,1.0,2.0,1.0,11.0,0.0,24817.42,0.0
6729,435.0,10.0,0.0,1.0,5.0,2.0,2079.51,1.0
9981,33.0,1.0,2.0,1.0,2.0,0.0,4500.0,0.0
10406,225.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
3221,41.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0
14092,296.0,0.0,1.0,1.0,7.0,0.0,30240.0,0.0
9710,56.0,1.0,1.0,1.0,9.0,0.0,12396.0,1.0
5625,398.0,3.0,1.0,1.0,2.0,0.0,1235494.1,0.0
3546,93.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
18825,31.0,0.0,2.0,1.0,6.0,0.0,13145.07,0.0
2404,110.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0
12128,264.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0
6512,80.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0
12157,337.0,3.0,1.0,1.0,13.0,0.0,92000.0,0.0
8854,31.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
3369,104.0,1.0,2.0,1.0,2.0,0.0,66336.49,0.0
11451,225.0,1.0,2.0,1.0,2.0,2.0,6461.0,0.0
7772,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
8965,44.0,1.0,1.0,1.0,0.0,2.0,3562.95,0.0
8700,229.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20469,225.0,3.0,0.0,1.0,0.0,2.0,1998.22,0.0
17832,190.0,0.0,1.0,1.0,7.0,0.0,7809.2,0.0
6329,36.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
12491,20.0,2.0,1.0,1.0,1.0,0.0,43187.1,0.0
1904,111.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
15304,218.0,0.0,1.0,1.0,9.0,0.0,14910.0,0.0
9384,6.0,1.0,1.0,1.0,0.0,2.0,3000.0,0.0
14935,111.0,8.0,0.0,1.0,5.0,1.0,0.0,0.0
15498,285.0,1.0,2.0,1.0,5.0,0.0,14040.0,0.0
5638,38.0,0.0,0.0,1.0,0.0,0.0,2638.21,0.0
434,131.0,1.0,2.0,1.0,1.0,2.0,7154.5,0.0
2528,201.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
9054,80.0,1.0,1.0,1.0,0.0,0.0,1860.0,0.0
4856,126.0,1.0,0.0,1.0,1.0,2.0,2088.0,0.0
10620,37.0,1.0,0.0,1.0,3.0,2.0,1170.0,0.0
20408,225.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0
7356,190.0,1.0,1.0,1.0,5.0,2.0,1550.0,0.0
2834,65.0,1.0,1.0,1.0,6.0,2.0,24564.56,0.0
2203,23.0,1.0,1.0,1.0,6.0,2.0,50.1,0.0
3445,217.0,1.0,1.0,1.0,7.0,2.0,2849.0,0.0
7359,261.0,1.0,1.0,1.0,2.0,0.0,97868.72,1.0
19510,14.0,0.0,1.0,1.0,0.0,0.0,10167.0,0.0
509,12.0,1.0,1.0,1.0,2.0,2.0,1601.7,0.0
4280,7.0,0.0,1.0,1.0,2.0,0.0,31716.75,1.0
15428,56.0,1.0,2.0,1.0,9.0,0.0,2291.2,0.0
18644,500.0,0.0,2.0,1.0,9.0,0.0,2925.33,0.0
18263,184.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0
15955,91.0,1.0,2.0,1.0,8.0,2.0,10913.75,0.0
14433,44.0,1.0,2.0,1.0,9.0,0.0,16815.1,0.0
11518,110.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
8225,79.0,2.0,2.0,1.0,1.0,2.0,1950.0,0.0
9038,280.0,1.0,1.0,1.0,11.0,1.0,0.0,0.0
9708,197.0,1.0,1.0,1.0,5.0,2.0,7278.37,0.0
10075,225.0,1.0,1.0,1.0,5.0,2.0,3549.0,0.0
12223,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
7589,105.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0
10247,88.0,1.0,0.0,1.0,5.0,2.0,2352.0,0.0
16502,447.0,1.0,1.0,1.0,2.0,2.0,2196.0,0.0
9115,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
8626,280.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
14915,64.0,0.0,1.0,1.0,11.0,2.0,8465.0,0.0
16453,469.0,5.0,2.0,2.0,8.0,0.0,301316.61,0.0
20496,190.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0
932,20.0,0.0,2.0,1.0,1.0,0.0,41211.25,0.0
10957,28.0,1.0,1.0,1.0,1.0,2.0,3311.28,0.0
15102,51.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0
8043,18.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
11055,17.0,1.0,2.0,1.0,1.0,3.0,26052.96,1.0
9559,181.0,1.0,0.0,1.0,5.0,2.0,938.36,0.0
3685,149.0,1.0,2.0,1.0,5.0,2.0,7765.0,0.0
3484,75.0,1.0,1.0,1.0,2.0,2.0,12938.3,0.0
16123,285.0,0.0,1.0,1.0,2.0,0.0,9000.0,0.0
18039,33.0,0.0,2.0,1.0,11.0,0.0,98597.77,0.0
18124,225.0,0.0,1.0,1.0,7.0,0.0,3289.14,0.0
9416,79.0,0.0,1.0,1.0,1.0,0.0,140787.83,1.0
9684,12.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0
3337,3.0,1.0,1.0,1.0,1.0,2.0,7844.8,0.0
1368,223.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4204,23.0,10.0,0.0,1.0,6.0,0.0,361590.95,1.0
10346,24.0,3.0,1.0,1.0,6.0,0.0,71047.54,0.0
14494,35.0,1.0,1.0,1.0,6.0,2.0,23325.8,0.0
1547,79.0,0.0,1.0,1.0,0.0,2.0,4519.6,0.0
7155,88.0,5.0,1.0,1.0,2.0,0.0,156443.79,0.0
2584,17.0,1.0,1.0,1.0,1.0,2.0,39733.98,0.0
10752,225.0,1.0,0.0,1.0,1.0,2.0,7656.0,0.0
8660,55.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
19337,45.0,1.0,2.0,1.0,7.0,0.0,2370.0,0.0
10455,218.0,1.0,1.0,1.0,9.0,0.0,14337.12,0.0
10715,38.0,1.0,1.0,1.0,2.0,2.0,590.0,0.0
1818,32.0,0.0,1.0,1.0,1.0,0.0,850.0,0.0
8822,41.0,0.0,2.0,1.0,1.0,0.0,10692.6,1.0
9923,94.0,0.0,2.0,1.0,6.0,0.0,21378.83,0.0
353,64.0,0.0,1.0,1.0,2.0,0.0,4545.5,0.0
16583,111.0,10.0,0.0,1.0,5.0,2.0,8074.34,0.0
19734,225.0,0.0,1.0,1.0,7.0,0.0,9869.36,0.0
1082,56.0,1.0,1.0,1.0,2.0,3.0,17021.55,1.0
1253,46.0,1.0,2.0,1.0,2.0,3.0,110315.68,0.0
15365,315.0,0.0,1.0,1.0,0.0,2.0,4569.0,0.0
1935,3.0,0.0,1.0,1.0,1.0,2.0,55.0,0.0
12947,20.0,1.0,1.0,1.0,2.0,2.0,944.0,0.0
4899,110.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0
11399,261.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0
5657,105.0,5.0,2.0,6.0,8.0,0.0,121401.49,0.0
19994,3.0,0.0,2.0,1.0,1.0,2.0,1951.6,0.0
8513,186.0,1.0,0.0,1.0,8.0,2.0,5255.0,0.0
3991,65.0,1.0,1.0,1.0,2.0,2.0,2460.25,0.0
3447,17.0,1.0,0.0,1.0,1.0,2.0,16507.93,0.0
6029,103.0,2.0,1.0,1.0,5.0,0.0,97804.34,0.0
9229,190.0,1.0,0.0,1.0,5.0,2.0,4632.38,0.0
1185,208.0,1.0,1.0,1.0,0.0,2.0,6075.0,0.0
19364,144.0,3.0,1.0,1.0,5.0,2.0,7.5,0.0
18335,81.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0
13101,9.0,0.0,2.0,1.0,11.0,0.0,76811.48,1.0
9042,104.0,1.0,2.0,1.0,1.0,2.0,4701.12,0.0
5804,75.0,1.0,1.0,1.0,5.0,2.0,1039.21,0.0
11581,120.0,2.0,1.0,1.0,1.0,0.0,94644.64,1.0
12050,183.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
6211,332.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0
2564,26.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2918,51.0,2.0,2.0,1.0,1.0,0.0,53430.84,0.0
14487,56.0,1.0,1.0,1.0,11.0,0.0,44499.1,1.0
4595,225.0,1.0,2.0,1.0,5.0,2.0,7280.95,0.0
5157,110.0,5.0,1.0,3.0,2.0,1.0,0.0,0.0
8331,225.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
20312,33.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0
5321,270.0,3.0,2.0,1.0,13.0,0.0,409175.89,1.0
8936,78.0,0.0,2.0,1.0,9.0,0.0,37816.9,0.0
10137,84.0,1.0,0.0,1.0,5.0,0.0,4313.6,0.0
6693,37.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
14084,3.0,1.0,2.0,1.0,3.0,2.0,17994.53,0.0
11090,149.0,1.0,1.0,1.0,1.0,2.0,15398.98,0.0
11719,79.0,0.0,2.0,1.0,1.0,3.0,102456.42,0.0
16295,119.0,0.0,1.0,1.0,1.0,0.0,9271.83,1.0
5142,381.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0
12783,494.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0
4993,184.0,1.0,1.0,1.0,5.0,0.0,7000.0,0.0
18031,274.0,0.0,2.0,1.0,4.0,0.0,85240.5,0.0
5155,53.0,1.0,0.0,1.0,1.0,2.0,443.0,0.0
14503,225.0,1.0,1.0,1.0,2.0,2.0,5536.85,0.0
6423,153.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
11289,54.0,0.0,2.0,1.0,2.0,2.0,782.1,0.0
2291,4.0,0.0,1.0,1.0,1.0,0.0,16291.16,1.0
6879,215.0,3.0,0.0,1.0,0.0,0.0,35549.45,0.0
12374,93.0,1.0,2.0,1.0,2.0,0.0,15704.76,0.0
11018,44.0,1.0,1.0,1.0,1.0,2.0,130.0,0.0
3603,4.0,1.0,2.0,1.0,5.0,2.0,9343.7,0.0
5094,72.0,3.0,2.0,1.0,7.0,0.0,235744.67,0.0
8432,72.0,3.0,0.0,1.0,7.0,1.0,0.0,0.0
9003,1.0,0.0,1.0,1.0,4.0,0.0,50562.0,0.0
8941,21.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
17572,61.0,0.0,1.0,1.0,1.0,2.0,26525.92,1.0
15936,38.0,0.0,1.0,1.0,9.0,0.0,100097.3,0.0
8922,86.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
1659,79.0,1.0,2.0,1.0,2.0,2.0,7235.94,0.0
17032,111.0,10.0,0.0,1.0,5.0,1.0,0.0,0.0
18426,225.0,1.0,1.0,1.0,7.0,2.0,2582.3,0.0
6954,110.0,1.0,0.0,1.0,5.0,0.0,136.0,0.0
842,34.0,1.0,2.0,1.0,1.0,2.0,2279.44,0.0
2977,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4026,0.0,1.0,1.0,1.0,0.0,0.0,2200.0,0.0
18634,41.0,0.0,1.0,1.0,4.0,0.0,115775.25,1.0
6798,394.0,1.0,0.0,1.0,9.0,0.0,587.19,0.0
2091,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
17250,190.0,1.0,0.0,1.0,7.0,2.0,2275.0,0.0
13268,225.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0
6367,191.0,1.0,1.0,1.0,5.0,2.0,1426.25,0.0
3063,94.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
13663,111.0,5.0,1.0,1.0,5.0,0.0,8423.51,0.0
8013,249.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
19860,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
7949,18.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
12603,26.0,1.0,2.0,1.0,11.0,0.0,5257.07,0.0
20794,147.0,1.0,1.0,1.0,2.0,2.0,15.0,0.0
2633,4.0,0.0,1.0,1.0,0.0,0.0,6780.0,1.0
3297,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
10476,5.0,1.0,1.0,1.0,0.0,0.0,4309.93,0.0
8360,79.0,0.0,1.0,1.0,1.0,2.0,3919.32,0.0
20481,225.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0
15301,149.0,1.0,2.0,1.0,1.0,2.0,200.0,0.0
15079,457.0,3.0,2.0,1.0,9.0,2.0,31499.61,0.0
7125,80.0,1.0,1.0,1.0,3.0,2.0,4030.85,0.0
4100,55.0,0.0,0.0,1.0,2.0,0.0,3300.0,0.0
1236,23.0,1.0,1.0,1.0,1.0,2.0,13743.9,1.0
2900,20.0,1.0,2.0,1.0,2.0,2.0,4781.4,0.0
8952,55.0,1.0,2.0,1.0,1.0,2.0,40000.0,0.0
8394,190.0,4.0,0.0,3.0,13.0,0.0,16011282.5,0.0
14,8.0,1.0,2.0,1.0,0.0,2.0,2240.0,0.0
5652,241.0,1.0,2.0,2.0,2.0,2.0,32456.14,0.0
4778,90.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2792,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
2927,4.0,0.0,1.0,1.0,1.0,2.0,26148.96,0.0
20005,0.0,1.0,1.0,1.0,1.0,2.0,3917.82,0.0
7753,2.0,1.0,2.0,1.0,1.0,0.0,11383.0,0.0
5922,6.0,1.0,2.0,1.0,1.0,2.0,31680.05,0.0
9272,225.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
7700,31.0,2.0,1.0,1.0,2.0,0.0,72851.65,0.0
8204,496.0,9.0,0.0,1.0,9.0,1.0,0.0,0.0
10029,79.0,1.0,1.0,1.0,1.0,0.0,126967.04,0.0
7110,225.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
9994,34.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
19187,38.0,0.0,2.0,1.0,2.0,3.0,111405.92,1.0
14136,61.0,0.0,1.0,1.0,1.0,0.0,26833.44,1.0
2606,67.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
2858,116.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
13297,1.0,0.0,2.0,1.0,1.0,0.0,77840.3,0.0
16670,44.0,1.0,1.0,1.0,5.0,2.0,6325.22,0.0
15041,23.0,0.0,0.0,1.0,9.0,1.0,0.0,1.0
17496,412.0,7.0,0.0,0.0,13.0,1.0,0.0,0.0
5,1.0,1.0,1.0,1.0,0.0,2.0,6200.0,0.0
8233,424.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0
17041,44.0,1.0,1.0,1.0,9.0,0.0,1642.6,0.0
5012,23.0,1.0,2.0,1.0,2.0,2.0,4981.75,1.0
11972,90.0,1.0,2.0,1.0,1.0,2.0,30750.0,0.0
18518,56.0,0.0,2.0,1.0,11.0,0.0,96761.34,1.0
14344,264.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0
20434,190.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0
14957,45.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
19565,0.0,0.0,2.0,1.0,6.0,2.0,42588.79,0.0
9090,1.0,1.0,0.0,1.0,5.0,0.0,4280.02,0.0
8769,101.0,3.0,1.0,1.0,9.0,0.0,80709.95,0.0
15122,37.0,0.0,2.0,1.0,1.0,0.0,20936.57,1.0
15968,33.0,0.0,1.0,1.0,9.0,0.0,57591.46,0.0
12310,110.0,5.0,2.0,1.0,6.0,0.0,64126.92,0.0
18667,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,0.0
3362,2.0,1.0,1.0,1.0,1.0,2.0,4809.61,0.0
7458,64.0,1.0,0.0,1.0,2.0,2.0,1315.0,0.0
1938,0.0,0.0,2.0,1.0,0.0,2.0,250.0,0.0
20775,190.0,1.0,1.0,1.0,7.0,2.0,34242.58,0.0
11379,26.0,0.0,2.0,1.0,2.0,0.0,29796.0,0.0
6914,93.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0
4870,93.0,1.0,0.0,1.0,5.0,0.0,5589.99,0.0
8057,2.0,1.0,2.0,1.0,1.0,0.0,3170.0,0.0
19914,225.0,3.0,0.0,1.0,6.0,0.0,41419.55,1.0
3877,0.0,0.0,1.0,1.0,5.0,2.0,15080.9,0.0
19394,225.0,10.0,0.0,0.0,7.0,1.0,0.0,0.0
20732,343.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0
13480,190.0,5.0,0.0,1.0,9.0,0.0,38442.8,0.0
2884,64.0,1.0,1.0,1.0,2.0,0.0,3363.0,0.0
3714,73.0,1.0,1.0,1.0,1.0,0.0,435.98,0.0
15754,94.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0
3480,17.0,1.0,2.0,1.0,2.0,2.0,6282.0,0.0
8813,314.0,0.0,2.0,1.0,0.0,0.0,36888.0,0.0
5069,111.0,8.0,0.0,1.0,5.0,1.0,0.0,0.0
17967,152.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0
3027,38.0,1.0,2.0,1.0,2.0,2.0,6307.0,0.0
1216,123.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0
17662,403.0,10.0,0.0,1.0,6.0,1.0,0.0,0.0
17244,211.0,1.0,1.0,1.0,2.0,2.0,11412.48,0.0
17513,408.0,1.0,2.0,1.0,9.0,2.0,34349.23,0.0
11020,37.0,1.0,1.0,1.0,1.0,2.0,9971.6,1.0
14186,126.0,1.0,1.0,1.0,16.0,2.0,40115.47,0.0
7217,149.0,1.0,0.0,1.0,6.0,0.0,59760.35,0.0
5465,225.0,1.0,0.0,1.0,5.0,2.0,2301.52,0.0
18470,27.0,3.0,0.0,1.0,7.0,0.0,92373.6,1.0
4705,66.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0
7976,280.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0
7682,20.0,1.0,2.0,1.0,1.0,2.0,10875.0,0.0
568,122.0,1.0,2.0,1.0,1.0,2.0,11185.7,0.0
9022,55.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
10017,442.0,2.0,0.0,1.0,7.0,0.0,47188.96,0.0
20057,227.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
9279,142.0,0.0,2.0,1.0,1.0,0.0,83851.8,0.0
11433,0.0,1.0,0.0,1.0,5.0,2.0,4761.5,0.0
8366,225.0,1.0,0.0,1.0,5.0,2.0,1005.0,0.0
7655,93.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
15695,201.0,1.0,2.0,1.0,5.0,2.0,59161.56,0.0
18464,10.0,0.0,1.0,1.0,11.0,0.0,43269.0,0.0
15494,88.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0
18693,51.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0
6193,153.0,1.0,0.0,1.0,5.0,0.0,22499.49,0.0
12399,78.0,1.0,1.0,1.0,9.0,0.0,163661.06,0.0
4715,225.0,1.0,2.0,1.0,7.0,0.0,2822.79,0.0
9254,144.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0
9093,59.0,0.0,1.0,1.0,1.0,2.0,2574.48,0.0
16601,111.0,10.0,0.0,1.0,5.0,2.0,65270.12,0.0
2333,2.0,0.0,1.0,1.0,1.0,0.0,25295.97,0.0
2455,75.0,0.0,2.0,1.0,2.0,0.0,1110.25,0.0
20275,184.0,3.0,1.0,1.0,9.0,1.0,0.0,0.0
10170,111.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
19845,10.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
2525,190.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
1684,110.0,0.0,2.0,1.0,1.0,0.0,25585.84,0.0
20649,93.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11147,2.0,1.0,1.0,1.0,9.0,0.0,1437.56,0.0
5496,61.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
5535,225.0,0.0,0.0,1.0,7.0,2.0,11178.17,0.0
14885,2.0,1.0,2.0,1.0,6.0,0.0,17770.26,0.0
6489,2.0,1.0,1.0,1.0,7.0,0.0,9628.8,0.0
4454,65.0,0.0,2.0,1.0,1.0,0.0,9877.0,0.0
13114,56.0,6.0,0.0,1.0,5.0,2.0,41509.81,1.0
13617,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
17551,44.0,0.0,2.0,1.0,6.0,0.0,16810.0,0.0
9326,79.0,1.0,1.0,1.0,1.0,2.0,10205.0,0.0
6733,173.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
461,61.0,0.0,2.0,1.0,0.0,0.0,26251.26,1.0
19447,225.0,1.0,0.0,1.0,7.0,2.0,2240.0,0.0
15870,307.0,10.0,1.0,4.0,2.0,2.0,94926207.71,1.0
2613,17.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
10927,230.0,6.0,1.0,1.0,9.0,0.0,50524.74,0.0
10742,107.0,1.0,1.0,1.0,6.0,2.0,6395.7,0.0
10480,152.0,0.0,2.0,1.0,7.0,0.0,14781.5,0.0
15318,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
5364,0.0,0.0,2.0,1.0,1.0,2.0,3061.63,0.0
12066,21.0,1.0,1.0,1.0,5.0,2.0,2269.0,0.0
1991,227.0,1.0,1.0,1.0,2.0,2.0,600.0,0.0
20016,29.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
7535,475.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0
3946,4.0,0.0,2.0,1.0,0.0,2.0,9329.65,0.0
1575,27.0,1.0,2.0,1.0,1.0,0.0,8491.02,0.0
7247,107.0,3.0,2.0,1.0,1.0,0.0,620703.41,1.0
14320,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
1583,131.0,1.0,1.0,1.0,1.0,2.0,1909.93,0.0
1520,134.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
14593,264.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0
1617,88.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6027,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
491,14.0,1.0,1.0,1.0,7.0,2.0,9780.0,0.0
3929,37.0,1.0,2.0,1.0,1.0,2.0,1107.0,1.0
17335,431.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
16196,64.0,0.0,1.0,1.0,9.0,0.0,13992.06,0.0
4446,225.0,1.0,1.0,1.0,5.0,2.0,1798.11,0.0
1330,74.0,1.0,1.0,1.0,5.0,2.0,478.62,0.0
18483,1.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0
5416,32.0,0.0,0.0,1.0,0.0,2.0,8091.04,0.0
9362,0.0,0.0,1.0,1.0,0.0,0.0,18283.47,0.0
18580,64.0,0.0,2.0,1.0,11.0,0.0,20890.01,0.0
7020,179.0,0.0,1.0,1.0,1.0,2.0,6353.99,0.0
11766,0.0,1.0,1.0,1.0,0.0,2.0,5722.87,0.0
5058,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
3582,54.0,1.0,2.0,1.0,1.0,2.0,4918.33,0.0
9598,105.0,5.0,1.0,2.0,5.0,0.0,74807.29,0.0
14375,102.0,4.0,0.0,0.0,5.0,1.0,0.0,0.0
19777,190.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0
2318,1.0,0.0,0.0,1.0,0.0,0.0,1200.0,0.0
5894,64.0,0.0,0.0,1.0,4.0,0.0,3776.0,0.0
17223,51.0,0.0,2.0,1.0,6.0,0.0,31579.98,0.0
405,93.0,1.0,1.0,1.0,1.0,2.0,10884.21,0.0
219,54.0,1.0,2.0,1.0,0.0,0.0,6050.0,0.0
4123,157.0,0.0,1.0,1.0,2.0,0.0,110.0,0.0
19195,227.0,0.0,2.0,1.0,11.0,0.0,10721.51,0.0
8242,110.0,0.0,0.0,4.0,1.0,0.0,32876.53,0.0
16649,334.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0
14778,0.0,0.0,1.0,1.0,0.0,2.0,75.0,0.0
6593,8.0,1.0,0.0,1.0,5.0,2.0,8898.69,0.0
2037,23.0,1.0,0.0,1.0,2.0,0.0,17464.83,1.0
1022,108.0,1.0,2.0,1.0,5.0,0.0,46193.68,0.0
15204,130.0,2.0,1.0,1.0,1.0,0.0,1268.38,1.0
9925,169.0,0.0,2.0,1.0,0.0,0.0,216075.69,0.0
7917,45.0,1.0,2.0,1.0,0.0,0.0,13200.45,0.0
266,11.0,1.0,2.0,1.0,5.0,2.0,1355.0,0.0
18599,227.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
17321,332.0,0.0,1.0,1.0,5.0,0.0,83964.5,0.0
15046,392.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0
12554,64.0,0.0,1.0,1.0,9.0,0.0,4400.0,0.0
3827,152.0,1.0,2.0,1.0,1.0,2.0,2184.15,0.0
2821,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
18001,163.0,0.0,1.0,1.0,11.0,1.0,0.0,0.0
20219,263.0,3.0,0.0,1.0,7.0,2.0,36.0,0.0
15805,196.0,0.0,2.0,1.0,9.0,0.0,63464.44,0.0
10074,489.0,1.0,1.0,1.0,9.0,0.0,1505.37,0.0
9876,395.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0
20071,266.0,6.0,1.0,1.0,1.0,2.0,201533.55,0.0
2742,111.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
4665,110.0,5.0,2.0,1.0,5.0,0.0,11808.0,0.0
10038,39.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0
1263,219.0,1.0,1.0,1.0,0.0,2.0,3000.0,0.0
9561,23.0,1.0,2.0,1.0,2.0,2.0,12790.56,0.0
8918,322.0,0.0,2.0,1.0,4.0,0.0,15281.41,1.0
3584,318.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5524,108.0,1.0,1.0,1.0,5.0,2.0,15003.75,0.0
8478,110.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0
10978,23.0,1.0,1.0,1.0,2.0,0.0,684.5,1.0
7434,296.0,0.0,1.0,1.0,0.0,0.0,19834.86,0.0
