,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
20052,43.0,0.0,1.0,1.0,5.0,0.0,6753.88,0.0
5305,393.0,3.0,0.0,1.0,13.0,0.0,5500.0,0.0
15380,225.0,0.0,2.0,1.0,9.0,3.0,41895.0,0.0
20554,227.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0
15983,225.0,1.0,1.0,1.0,7.0,2.0,3978.57,0.0
15575,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
6434,108.0,1.0,3.0,12.0,1.0,0.0,162457.48,0.0
3607,320.0,1.0,2.0,1.0,0.0,0.0,15250.0,0.0
14123,31.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
1320,4.0,0.0,1.0,1.0,0.0,0.0,17815.11,0.0
13856,111.0,0.0,1.0,1.0,5.0,2.0,414.0,0.0
10432,76.0,1.0,1.0,1.0,1.0,2.0,2328.38,0.0
12958,225.0,1.0,1.0,1.0,7.0,0.0,3629.0,0.0
19519,56.0,0.0,1.0,1.0,11.0,0.0,7000.0,1.0
168,38.0,1.0,0.0,1.0,5.0,0.0,7514.38,0.0
17411,25.0,3.0,0.0,1.0,4.0,0.0,494239.47,1.0
19054,376.0,0.0,2.0,1.0,1.0,0.0,5700.0,0.0
6020,190.0,1.0,0.0,1.0,5.0,2.0,2517.0,0.0
12549,88.0,1.0,2.0,1.0,9.0,0.0,55972.49,0.0
13888,6.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
15279,184.0,0.0,1.0,1.0,6.0,0.0,56900.25,0.0
4950,23.0,0.0,2.0,1.0,4.0,0.0,8778.11,1.0
398,1.0,0.0,2.0,1.0,0.0,0.0,12927.0,0.0
13048,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
6933,79.0,1.0,1.0,1.0,10.0,0.0,420.6,0.0
149,43.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
3069,38.0,1.0,1.0,1.0,2.0,2.0,3895.0,0.0
14583,3.0,1.0,1.0,1.0,1.0,2.0,100.0,0.0
94,4.0,0.0,2.0,1.0,0.0,2.0,36328.61,1.0
10665,109.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0
20128,38.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0
15445,107.0,0.0,2.0,1.0,1.0,0.0,122206.44,1.0
14497,64.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0
6138,116.0,0.0,1.0,1.0,1.0,0.0,35692.85,1.0
13205,111.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0
8970,31.0,1.0,2.0,1.0,2.0,0.0,6440.0,0.0
20691,102.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
1496,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
13367,264.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0
5453,69.0,1.0,1.0,1.0,2.0,0.0,103184.13,0.0
8121,105.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0
4885,102.0,3.0,0.0,1.0,13.0,1.0,0.0,0.0
14659,2.0,0.0,2.0,1.0,6.0,0.0,4410.3,0.0
10399,1.0,0.0,1.0,1.0,4.0,0.0,2159.85,0.0
14764,227.0,0.0,2.0,1.0,2.0,0.0,35203.71,0.0
18535,225.0,1.0,2.0,1.0,7.0,2.0,3168.16,0.0
